Respondent ID;Gender;Age;Nationality;Nationality_4_TEXT;Living;HHSize;StreamingUsage;Device;UnaidedbrandrecallDisney;WTP;Pastime;Entertainment;Recommendation;ZStreamingUsage;ZEntertainment;ZRecommendation;ZPastime
63;2;20;2; ;3;1;3;1;1;10;7;6;2,25;0,13275;0,307327058;-1,466471685;2,104940585
64;1;20;2; ;1;4;3;4;0;9;3;5,5;4,5;0,13275;0,693786233;0,493663736;-0,487654857
65;2;26;2; ;2;5;4;2;0;10;5;6;2,25;0,8186;-1,238509641;-1,466471685;0,808642864
66;2;18;2; ;1;5;5;3;0;5;5;5,5;3,5;1,50446;0,88701582;-0,377507563;0,808642864
67;1;20;4;Polish;1;3;5;1;0;10;2;6;2,75;1,50446;-1,238509641;-1,030886036;-1,135803718
68;2;19;4;Polish;1;4;1;1;0;10;6;6,5;1;-1,23897;1,273474995;-2,555435808;1,456791725
69;2;22;1; ;1;3;4;2;1;9,99;1;7;3,25;0,8186;-1,818198403;-0,595300387;-1,783952578
70;1;20;4;Polish;2;4;2;1;0;10;1;4;5,25;-0,55311;0,114097471;1,147042209;-1,783952578
71;2;22;2; ;2;2;1;4;0;5;4;6;2,5;-1,23897;-1,238509641;-1,248678861;0,160494004
72;2;22;4;Russian;1;4;1;1;0;10;7;6;4,5;-1,23897;-1,238509641;0,493663736;2,104940585
73;1;18;4;Russian;1;4;3;4;0;0;6;6;5,5;0,13275;-1,238509641;1,364835034;1,456791725
74;1;19;4;Russian;1;5;1;1;0;10;3;5;5;-1,23897;-0,658820879;0,929249385;-0,487654857
75;1;19;4;Russian;1;4;2;1;0;5;6;5,5;4,25;-0,55311;0,88701582;0,275870911;1,456791725
76;1;21;2; ;1;4;3;4;0;8;3;3,5;5;0,13275;-0,272361704;0,929249385;-0,487654857
77;1;20;2; ;1;4;3;4;0;5;3;6;3;0,13275;-1,238509641;-0,813093212;-0,487654857
78;1;19;1; ;2;4;2;4;0;10;2;6;3,5;-0,55311;-1,238509641;-0,377507563;-1,135803718
79;2;19;2; ;1;4;2;1;0;7;6;5,5;3,25;-0,55311;0,88701582;-0,595300387;1,456791725
80;1;22;4;French;3;1;3;1;1;5;3;6;6;0,13275;1,273474995;1,800420683;-0,487654857
81;2;18;4;Polish;1;5;1;2;0;10;6;5;4,5;-1,23897;0,693786233;0,493663736;1,456791725
82;2;18;4;Polish;1;2;3;2;0;10;3;5;3,5;0,13275;-0,658820879;-0,377507563;-0,487654857
83;1;19;4;Polish;3;2;2;1;0;5;6;6;5,5;-0,55311;-1,238509641;1,364835034;1,456791725
84;1;20;4;Russian;3;2;3;4;0;10;7;5,5;5,75;0,13275;0,88701582;1,582627858;2,104940585
85;2;19;4;Estonian;3;1;2;1;0;10;3;5;3,5;-0,55311;0,693786233;-0,377507563;-0,487654857
